feature,mean_abs_shap
baseline_prev_15min,0.15370541337148497
hist_avg_demand,0.13137421127529422
temperature_2m,0.10523998239837114
month,0.06972155874781598
baseline_yesterday_same_slot,0.0506708123654154
relative_humidity_2m,0.039929262914888276
baseline_prev_1h,0.02601559624031865
slot_cos,0.015054386828746612
weather_code,0.014269079449034404
wind_speed_10m,0.007763057549832605
station_target_enc,0.0071542447299734946
slot_sin,0.004953579526265496
dayofweek,0.0021742157812868774
longitude,0.0014832918239231676
latitude,0.001454551418523053
precipitation,0.00021425927750410486
station_freq,0.0
